MMM,3M Company,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,NYSE,USD,USA,"3M CENTER, BLDG. 220-13E-26A, ST PAUL, MN, US","The 3M Company is an American multinational conglomerate corporation operating in the fields of industry, worker safety, US health care, and consumer goods. The company produces over 60,000 products under several brands, including adhesives, abrasives, laminates, passive fire protection, personal protective equipment, window films, paint protection films, dental and orthodontic products, electrical and electronic connecting and insulating materials, medical products, car-care products, electronic circuits, healthcare software and optical films. It is based in Maplewood, a suburb of Saint Paul, Minnesota.",https://i.ibb.co/JRnhrX7/MMM-forecast.png
AOS,Smith AO Corporation,MANUFACTURING,HOUSEHOLD APPLIANCES,NYSE,USD,USA,"11270 WEST PARK PLACE, MILWAUKEE, WI, US",A. O. Smith Corporation is an American manufacturer of both residential and commercial water heaters and boilers and the largest manufacturer and marketer of water heaters in North America. It also supplies water treatment products in the Asian market.,https://i.ibb.co/r4bCCjz/AOS-forecast.png
ABT,Abbott Laboratories,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,NYSE,USD,USA,"100 ABBOTT PARK ROAD, ABBOTT PARK, IL, US","Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",https://i.ibb.co/dPK50Fq/ABT-forecast.png
ABBV,AbbVie Inc,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,NYSE,USD,USA,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, US",AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,https://i.ibb.co/NZW36TW/ABBV-forecast.png
ACN,Accenture plc,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC",NYSE,USD,USA,"1 GRAND CANAL SQUARE, GRAND CANAL HARBOUR, DUBLIN, IE","Accenture plc is an Irish-domiciled multinational company that provides consulting and processing services. It has been incorporated in Dublin, Ireland since 2009.",https://i.ibb.co/2vXHkgL/ACN-forecast.png
ADM,Archer-Daniels-Midland Company,MANUFACTURING,FATS & OILS,NYSE,USD,USA,"77 W. WACKER DR., CHICAGO, IL, US","The Archer-Daniels-Midland Company, commonly known as ADM, is an American multinational food processing and commodities trading corporation founded in 1902 and headquartered in Chicago, Illinois. The company operates more than 270 plants and 420 crop procurement facilities worldwide, where cereal grains and oilseeds are processed into products used in food, beverage, nutraceutical, industrial, and animal feed markets worldwide.",https://i.ibb.co/wpkQDrP/ADM-forecast.png
ADBE,Adobe Systems Incorporated,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,NASDAQ,USD,USA,"345 PARK AVE, SAN JOSE, CA, US","Adobe Inc. is an American multinational computer software company. Incorporated in Delaware and headquartered in San Jose, California, it has historically specialized in software for the creation and publication of a wide range of content, including graphics, photography, illustration, animation, multimedia, motion pictures and print. The company has expanded into digital marketing management software. Adobe has millions of users worldwide. Flagship products include: Photoshop image editing software, Adobe Illustrator vector-based illustration software, Adobe Acrobat Reader and the Portable Document Format (PDF), plus a host of tools primarily for audio-visual content creation, editing and publishing.",https://i.ibb.co/g9Z3mFd/ADBE-forecast.png
AAP,Advance Auto Parts Inc,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,NYSE,USD,USA,"2635 EAST MILLBROOK ROAD, RALEIGH, NC, US","Advance Auto Parts, Inc. (Advance) is an American automotive aftermarket parts provider. Headquartered in Raleigh, North Carolina, it serves both professional installer and do-it-yourself (DIY) customers.",https://i.ibb.co/8gTFJF0/AAP-forecast.png
AMD,Advanced Micro Devices Inc,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,NASDAQ,USD,USA,"2485 AUGUSTINE DRIVE, SANTA CLARA, CA, US","Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company based in Santa Clara, California, that develops computer processors and related technologies for business and consumer markets. AMD's main products include microprocessors, motherboard chipsets, embedded processors and graphics processors for servers, workstations, personal computers and embedded system applications.",https://i.ibb.co/9YPSWXp/AMD-forecast.png
AES,The AES Corporation,ENERGY & TRANSPORTATION,COGENERATION SERVICES & SMALL POWER PRODUCERS,NYSE,USD,USA,"4300 WILSON BOULEVARD, ARLINGTON, VA, US","The AES Corporation is a Fortune 500 company that generates and distributes electrical power. AES is headquartered in Arlington, Virginia.",https://i.ibb.co/vPMK8sD/AES-forecast.png
