Ticker,LogoURL
"MMM","https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/3M_wordmark.svg/175px-3M_wordmark.svg.png"
"AOS","https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/AO_Smith_logo.svg/220px-AO_Smith_logo.svg.png"
"ABT","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Abbott_Laboratories_logo.svg/220px-Abbott_Laboratories_logo.svg.png"
"ABBV","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/AbbVie_logo.svg/220px-AbbVie_logo.svg.png"
"ACN","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Accenture.svg/220px-Accenture.svg.png"
"ADBE","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Adobe_Corporate_logo.svg/240px-Adobe_Corporate_logo.svg.png"
"AMD","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/AMD_Logo.svg/220px-AMD_Logo.svg.png"
"AES","https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Edit-clear.svg/40px-Edit-clear.svg.png"
"AFL","https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Semi-protection-shackle.svg/20px-Semi-protection-shackle.svg.png"
"A","https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Agilent.svg/250px-Agilent.svg.png"
"APD","https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Logo_Air_Products.svg/220px-Logo_Air_Products.svg.png"
"ABNB","https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Airbnb_Logo_B%C3%A9lo.svg/220px-Airbnb_Logo_B%C3%A9lo.svg.png"
"AKAM","https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ambox_important.svg/40px-Ambox_important.svg.png"
"ALB","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Albermarle_Corporation.svg/280px-Albermarle_Corporation.svg.png"
"ARE","https://upload.wikimedia.org/wikipedia/en/thumb/4/4f/Alexandria_Real_Estate_Equities_logo.png/220px-Alexandria_Real_Estate_Equities_logo.png"
"ALGN","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Align_Technology.png/120px-Align_Technology.png"
"ALLE","https://upload.wikimedia.org/wikipedia/en/e/e4/Allegion_logo.png"
"LNT","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Alliant_Energy_logo.svg/220px-Alliant_Energy_logo.svg.png"
"ALL","https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Allstate_logo.svg/220px-Allstate_logo.svg.png"
"GOOGL","https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Semi-protection-shackle.svg/20px-Semi-protection-shackle.svg.png"
"GOOG","https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Semi-protection-shackle.svg/20px-Semi-protection-shackle.svg.png"
"MO","https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Altria_logo.svg/220px-Altria_logo.svg.png"
"AMZN","https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Semi-protection-shackle.svg/20px-Semi-protection-shackle.svg.png"
"AMCR","https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Amcor_logo.png/175px-Amcor_logo.png"
"AEE","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Ameren_logo.svg/200px-Ameren_logo.svg.png"
"AAL","https://upload.wikimedia.org/wikipedia/en/thumb/8/83/American_Airlines_Group_logo.svg/220px-American_Airlines_Group_logo.svg.png"
"AEP","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/AEP_logo.svg/220px-AEP_logo.svg.png"
"AXP","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/American_Express_logo_%282018%29.svg/150px-American_Express_logo_%282018%29.svg.png"
"AIG","https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/AIG_new_logo.svg/250px-AIG_new_logo.svg.png"
"AMT","https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/American_Tower_Corporation_logo.svg/220px-American_Tower_Corporation_logo.svg.png"
"AWK","https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/American_Water_%28company%29_Logo.svg/220px-American_Water_%28company%29_Logo.svg.png"
"AMP","https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Ameriprise_Financial_logo.svg/220px-Ameriprise_Financial_logo.svg.png"
"AME","https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Ametek_Logo.svg/220px-Ametek_Logo.svg.png"
"AMGN","https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png"
"APH","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Logo_Amphenol.svg/240px-Logo_Amphenol.svg.png"
"ADI","https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Analog_Devices_Logo.svg/200px-Analog_Devices_Logo.svg.png"
"ANSS","https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Ansys_logo_%282019%29.svg/220px-Ansys_logo_%282019%29.svg.png"
"AON","https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Aon_Corporation_logo.svg/220px-Aon_Corporation_logo.svg.png"
"APA","https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Edit-clear.svg/40px-Edit-clear.svg.png"
"AAPL","https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Semi-protection-shackle.svg/20px-Semi-protection-shackle.svg.png"
"AMAT","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Applied_Materials_Inc._Logo.svg/175px-Applied_Materials_Inc._Logo.svg.png"
"APTV","https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Aptiv_logo.svg/220px-Aptiv_logo.svg.png"
"ACGL","https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png"
"ADM","https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Archer_Daniels_Midland_logo.svg/130px-Archer_Daniels_Midland_logo.svg.png"
"ANET","https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Arista-networks-logo.svg/220px-Arista-networks-logo.svg.png"
"AJG","https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ambox_important.svg/40px-Ambox_important.svg.png"
"AIZ","https://upload.wikimedia.org/wikipedia/en/thumb/c/cd/Assurant_logo.svg/220px-Assurant_logo.svg.png"
"T","https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/AT%26T_logo_2016.svg/220px-AT%26T_logo_2016.svg.png"
"ATO","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Atmos_Energy_Logo.svg/220px-Atmos_Energy_Logo.svg.png"
"ADSK","https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ambox_important.svg/40px-Ambox_important.svg.png"
"ADP","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Automatic_Data_Processing_%28logo%29.svg/175px-Automatic_Data_Processing_%28logo%29.svg.png"
"AZO","https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/AutoZone_logo.svg/250px-AutoZone_logo.svg.png"
"AVB","https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Avalon-Bay-logo.jpg/220px-Avalon-Bay-logo.jpg"
"AVY","https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Avery_Dennison_logo_red.png/220px-Avery_Dennison_logo_red.png"
"AXON","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/AXON_Company_logo.svg/220px-AXON_Company_logo.svg.png"
"BKR","https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Baker_Hughes_logo.svg/220px-Baker_Hughes_logo.svg.png"
"BALL","https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Logo_Ball_Corporation.svg/150px-Logo_Ball_Corporation.svg.png"
"BAC","https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Bank_of_America_logo.svg/250px-Bank_of_America_logo.svg.png"
"BK","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/BNY_Mellon.svg/220px-BNY_Mellon.svg.png"
