MMM,2024-02-27 15:32:59.084628,50748916000,None,-12.63,-0.711
AOS,2024-02-27 15:33:02.455132,12009640000,22.11,3.69,0.31
ABT,2024-02-27 15:33:03.020150,205948518000,36.41,3.26,0.151
ABBV,2024-02-27 15:33:06.386802,316922397000,65.96,2.72,0.352
ACN,2024-02-27 15:33:10.968717,236676940000,34.98,10.79,0.274
ATVI,2024-02-27 15:33:16.275523,,,,
ADM,2024-02-27 15:33:19.703805,28359866000,7.39,7.19,0.158
ADBE,2024-02-27 15:33:21.151353,253336945000,47.38,11.83,0.355
AAP,2024-02-27 15:33:22.035084,3590351000,17.54,3.44,0.0766
AMD,2024-02-27 15:33:22.597540,285219258000,333.06,0.53,0.0154
AES,2024-02-27 15:33:23.012149,10714064000,None,-0.84,-0.0787
AFL,2024-02-27 15:33:24.264832,46104773000,10.24,7.78,0.221
A,2024-02-27 15:33:26.045782,38531830000,31.38,4.19,0.222
APD,2024-02-27 15:33:29.393738,50986955000,21.95,10.45,0.155
AKAM,2024-02-27 15:33:31.020281,16333669000,30.73,3.52,0.122
ALK,2024-02-27 15:33:31.447137,4754854000,20.61,1.83,0.0593
ALB,2024-02-27 15:33:33.287385,14266812000,9.1,13.36,0.187
ARE,2024-02-27 15:33:33.674956,21330921000,225.8,0.54,0.0124
ALGN,2024-02-27 15:33:34.255295,23806958000,53.5,5.81,0.123
ALLE,2024-02-27 15:33:34.710147,11302397000,21.09,6.12,0.478
LNT,2024-02-27 15:33:35.109098,12472070000,17.52,2.78,0.108
ALL,2024-02-27 15:33:35.705156,42038108000,None,-1.19,-0.0122
GOOGL,2024-02-27 15:33:36.120005,1717093794000,23.68,5.81,0.274
GOOG,2024-02-27 15:33:36.641438,1797324407000,25.05,5.8,0.274
MO,2024-02-27 15:33:37.058164,71790453000,8.91,4.57,0
AMZN,2024-02-27 15:33:37.453987,1814990291000,60.25,2.9,0.175
AMCR,2024-02-27 15:33:37.849357,13398303000,21.07,0.44,0.155
AEE,2024-02-27 15:33:38.270613,18862029000,16.17,4.38,0.105
AAL,2024-02-27 15:33:38.668401,10004687000,12.63,1.21,0
AEP,2024-02-27 15:33:39.088279,42475004000,18.53,4.36,0.0906
AXP,2024-02-27 15:33:39.739289,157050847000,19.34,11.22,0.317
AIG,2024-02-27 15:33:40.150538,48565637000,14.32,4.98,0.0819
AMT,2024-02-27 15:33:40.560582,87508492000,125.15,1.5,0.0541
AWK,2024-02-27 15:33:40.969429,22870082000,23.97,4.9,0.108
AMP,2024-02-27 15:33:41.446833,40830472000,17.19,23.69,0.599
ABC,2024-02-27 15:33:41.868307,,,,
AME,2024-02-27 15:33:42.261829,41325912000,31.55,5.67,0.162
AMGN,2024-02-27 15:33:42.707028,154977059000,23.15,12.49,1.358
APH,2024-02-27 15:33:43.102950,64844321000,34.76,3.11,0.251
ADI,2024-02-27 15:33:43.498353,94277067000,33.89,5.61,0.0781
ANSS,2024-02-27 15:33:43.892280,29265828000,58.69,5.73,0.0976
ANTM,2024-02-27 15:33:44.272339,,,,
AON,2024-02-27 15:33:44.706729,62350840000,25.11,12.52,0.576
APA,2024-02-27 15:33:45.113590,9055636000,3.247,9.25,1.274
AAPL,2024-02-27 15:33:45.530212,2797454492000,28.17,6.43,1.543
AMAT,2024-02-27 15:33:45.924353,169366225000,23.92,8.51,0.464
APTV,2024-02-27 15:33:46.331759,21630870000,7.46,10.39,0.283
ANET,2024-02-27 15:33:46.748750,86066577000,41.84,6.58,0.345
AJG,2024-02-27 15:33:47.148343,52907872000,55.34,4.41,0.0966
AIZ,2024-02-27 15:33:47.540971,9300872000,14.97,11.95,0.142
T,2024-02-27 15:33:47.957873,118736314000,8.43,1.97,0.138
ATO,2024-02-27 15:33:48.357400,17008719000,18.01,6.26,0.0877
ADSK,2024-02-27 15:33:48.756626,55051031000,60.55,4.25,0.768
ADP,2024-02-27 15:33:49.194891,104156062000,29.48,8.6,0.974
AZO,2024-02-27 15:33:49.598769,47662359000,20.04,137.54,0
AVB,2024-02-27 15:33:50.011515,24658379000,26.47,6.56,0.0806
AVY,2024-02-27 15:33:50.419219,17253820000,34.62,6.19,0.242
BKR,2024-02-27 15:33:50.896760,30125533000,15.65,1.91,0.131
BLL,2024-02-27 15:33:51.847256,,,,
BAC,2024-02-27 15:33:52.816658,264600109000,10.91,3.08,0.0939
